25990	3.172850	1.479313	1
30137	9.757365	0.120120	3
49614	5.367753	0.064616	1
10716	3.840522	0.462128	2
11499	2.934484	0.362284	2
11124	4.576177	1.230665	2
12525	0.000000	0.785260	2
59311	2.090662	1.184574	1
71834	13.441227	1.538441	1
70858	14.362267	0.304432	1
30367	0.810441	0.461634	1
70971	8.830166	0.488374	1
10833	2.589068	0.423574	2
53727	2.819056	0.462119	1
20259	7.775183	0.794413	3
14173	2.325890	0.903027	2
35583	2.045897	0.588478	1
48086	2.663098	0.862354	1
76535	6.854987	0.569796	1
5900	0.000000	0.719507	2
10537	1.392554	1.378827	2
59376	0.452418	0.616636	1
45456	8.480155	0.508312	3
5426	1.024846	0.821501	2
40552	11.252961	0.801442	3
13440	9.064003	1.440064	2
33101	8.096603	0.393283	3
49457	10.183035	0.624995	3
41535	9.725547	1.623621	3
0	0.836411	0.254654	2
27893	11.210786	0.382375	3
28631	9.625130	0.884764	3
54347	3.069094	0.830581	1
79055	13.638288	1.623618	1
32176	10.228258	1.009044	3
13767	0.740383	1.543602	2
11132	3.733225	0.400504	2
7550	6.734569	1.461278	2
8397	6.562120	0.473700	2
9267	7.816519	0.086608	2
43051	0.000000	1.274858	1
69996	12.045498	0.437029	1
17938	7.046037	1.693155	2
23723	2.643530	0.113814	2
7465	2.039463	1.268550	2
21524	5.939649	1.281212	3
12870	2.979396	0.268191	2
26132	13.541742	1.378477	3
86000	15.064212	1.526444	1
42362	10.682285	0.538172	3
24250	7.768891	0.323025	3
35362	1.300366	1.457238	1
71443	7.639161	0.378319	1
4647	0.901015	1.225336	2
23310	14.837390	0.322550	3
36656	8.012216	0.984559	3
10121	0.839588	0.007072	2
72557	13.529685	1.000201	1
36970	3.728683	0.125388	1
8329	2.227728	1.035470	2
47039	10.131948	0.062121	3
27045	10.097598	0.203753	3
43633	5.651214	0.351039	3
11248	2.461019	0.485228	2
9205	2.924861	1.209332	2
6407	1.073021	1.669233	2
45471	8.682699	0.075849	3
20568	9.877706	0.329919	3
27119	3.419833	1.576454	1
4043	1.656911	0.667836	2
7098	0.000000	1.626529	2
34052	9.897664	1.367069	3
